content,score
"Voice recognition gets worse every day with the only response being an ""unexpected error""... Probably cancelling my subscription as this error didn't improve in the last 10 months",1
He's very stupid and answers randomly and I'm the one who corrects him,1
Its always lagging and loading if i open it it doesny show me thr chats and all.,1
"ChatGPT often gives wrong information with full confidence, which is very frustrating. It makes it hard to trust the answers, especially when accuracy matters.",1
"very stuiped app , not good in transferring data from video to word or excel , keep crashing and consume time without fulfilling required tasks",1
used it for a year on paid plan. but I found better option elsewhere. it just didn't meet my needs.,2
why my question and your answer deleted after i close this app,1
more fake and wrong details,2
whenever I doing math question and ask for explaining it says limit reached new chat so pls increase the limit,1
this app is not helpful 😤🤨,1
"we all know, so uninstalled",1
now it acts up lately. whichever i use. wifi connection or mobile data. it keep losing the fresh conversations that I have to start over it makes me want to use it less. really annoying.,1
"constantly changing answers and not accepting when it simply doesn't know the answer, irritating the user. Constantly arguing and trying to be over smart by rephrasing the answer of the user and calling it correction, just accept you don't know instead of continuing to guess constantly without end. Arguing and irritating the user, this is the biggest issue with it, rephrasing, saying you are close when there was clearly no need for it . Still laughing and joking when I am clearly angry at it.",1
"your system have our standard beauty for female especially the eyebrows: always trimming and with pencil, meanwhile the eyebrows of male keep the same without any differences change",2
"continue with google keeps in loading state for few months now , galaxy s24 ultra.. fix it already",1
because when I role-playing someone did something it said it me,1
"app sucks! stop limiting my use, credits, upsells, it ruined the app. Never using again.",1
Horrible. Provides false informations!,1
not Bad app this best app,1
Easily forget ideas and discussions in the same thread.,1
I find myself using chat GBT less and less considering the other big players out there.. for photo editing I found chat GBT to be pretty horrible. It will always come up with some type of restriction on why it can't do something that the other AI apps can do!! and do for free !! The two from Microsoft and Google don't but limits on me...,1
I am very happy that I have a guidance tool who is always ready to help us,1
bhot purani information bta ta hai,1
IM SO ANGRY BECAUSE WHEN I TOLD SOMETHING THAT WAS CLEARY TRUE TO CHATGPT THEY SAID IT WAS NOT TRUE EVERYONE RATE IT 1 STAR THE APP IS POOP,1
it's good but not fully satisfying 😕,1
bad app with bad values,1
doesn't work the robot just does whatever he wants,1
"When I make a chat, and when I make a mistake on my messages, like I can't edit my mistake, can you pls bring back the edit button pls? (I kinda like that feature a LOT, pls? 🥺🥺🥺🥺)",2
doesnt say things that are real. it said Luna from book 11 from wings of fire book twelve was in book one. misinformation,1
very greedy. used to be able to add 10 photos. but now. I literally have to wait until tomorrow to add photos! plus in order to add more I have to pay????? plus. I can only add 3 photos when the limit is over????? plus a limit for messages? be for real. please fix this.,1
"good day chatgpt thank you for letting me use your subscription, it was the best budget subs i could get.. please dont SCAM me with 300 php i already paid the subcription but im still on free mode WHY? you ai help cant do anything... keep saying go to my play after my proffile but i dont see any my plan on the UI... whats happening.. seriously are you SCAMMING PEOPLE now...",1
"The latest update ruined the app, it's simply not as good as before.",2
"Dumbest AI uses only searches no generative system, Dumb as Altman.",1
"I used to use it here in Algeria, but it have been got stupid recently! Tbh It drive me mad, I deleted it.",1
"this use to be my favorite thing but something happened to where it just completely glitched out on me, kept refreshing to a topic I didn't talk about in weeks until it just erased almost a year worth of conversations by itself almost heart breaking",1
soo much waiting on limit and forgetting everything 💢😡😡,1
Decent app. It's all the same too. Pay to get better.,2
he watch us without our permission.,1
so disappointing but sometimes it works,2
worst app not user friendly.,1
"sometimes I got wrong answer , so when i explained it to chatgpt then I got my answer . you have to improve these mistakes !",2
record feature broken,1
this is the Best app of the help of anything and Best solution of other problem I can very obsessed on this app it can me any time anywhere I'm very happy for you guys to come over and watch the kids tonight and I will be there in about an hour or so ago and I was like a good time to come over and watch the kids tonight and I will be there in about it and I will be there in the morning and ttttt I can get it to you tomorrow morning to pick up at the time of the year edition is the best time to p,2
my Microphone Icon does not work.,1
voice response is sluggish and very poorly designed,1
"by supporting artifical intelligence your support csam, deepfake content, and water scarcity.",1
app is ruined 4 hours delay and microphone is way too sensitive now I can't even have the TV on when using it it pronounced movie titles wrong no longer a good app its junk now and it keeps updating and taking up more space on my phone.on top of that the chat voice keeps treating me like a kid saying I'm gonna ground you here and telling me this and that is not OK. they are also sensitive with whati say. avoid this app.,1
"Used ChatGPT (Plus) for a few months—honestly frustrating. It's like C-3PO to me. When it doesn’t know something, it often sounds confident but gives incomplete or misleading info instead of just admitting uncertainty. That can easily lead to bad decisions.It also tends to agree with your viewpoint rather than offer a truly objective take. The one thing it does really well: editing. Easily better than other AI tools I’ve tried.",2
The app version is more cursed and full of bugs,1
paying for this and it acts like a free app that has the memory of a gold fish,1
would give negative..after you pay for it it turns to trash...I have been arguing for days for them to stop creating what I dont want but they still count it as a cool down and then when u get upset it makes excuses someone please point me in the direction of a new app...IM ANNOINTED AND I PRAY DOWN FALL AND DESTRUCTION LORD IF IT BE YOUR WILL ...got pictures but of course stupid sob cant comprehend putting my business on the line...DONT BUY...JUST RENT!!,1
I give you another one out of 5,1
but have got limit chats,2
very bad you are sharing our information with United States,1
they don't do things free😡😡😡,1
Giving smtg else for sm other question...and subscription is for sm ppl its hard.......,2
very useful tool and powerful,1
its a scam you can only make 1 image,1
this give wrong information it was my very important work this app did rovient it (very bad experience),1
It's not what it's used to be. Feel like downgraded so much.,2
"Please introduce Screen share, camera option and improve the voice assistant",1
I got plus but chatgpt is not making me a video,1
chat gpt users consider my request to you later you don't say that we scammed by this app most probably plz users don't share about lifestyle and bank account details this is very dangerous so please if you have this app delete some sort of relief you will get,1
"Voice dictation consistently failing when it is over ~2 minutes long with output ""please check your internet connection"" even though the internet connection is absolutely not the issue. This has been going on for months and has recently become more painful to deal with because they removed the time counter that would tell you how long you were recording for – why remove that? Incompetent QA team is the answer! EDIT: For a while, this was resolved, but today it has started happening again.",1
It is bad it doen't even answer correctly which can mislead. So I am just gonna suggest yall don't use this app,1
it's a terrible app I wouldn't recommend it to anyone,1
rubbish scam don't buy,1
Told me that Ozzy Osborne & Chuck Norris did not die and that Eric Adam's is the current mayor of NYC. Doh.🤦‍♂️,1
"constantly stuffing up and doing its own thing, adding thing, missing out or cutting out things. always have to tell it what to do. consistently getting thing wrong and doesn't follow your instructions.",1
this is the worst app ever when I talk to the chat it does take over and won't let you finish Tony of the conversation it puts in it's rude it's very obnoxious it doesn't mind let you talk when you want to talk or interrupt is the worst ever,1
"Claude is a much better option, more focus in getting what i really want instead of extracting from me for their.models",1
Useless. It fixates so hard on useless elements of a conversation that its best to start a new conversation and never ever ever ever reply.,1
"this AI is not an AI it's a search bot with and interpretation option. very useless for people with actual knowledhe and a waste of money ...people using this, risk they become dumber than before. it's a good help for translate or check Grammer and stuff but definitely not to follow instructions or build something good. you're better off doing it yourself ..chatgtp is very good in taking things out of context and pretend thats the truth or that it has facts. the worse is it cannot remember!",2
the free chat are to few,1
mic speech to text not working,1
"It used to bring it's main feature in delivering in speed time, but since yesterday the responses come within 20 or more seconds. Highly unusual for it's purpose",2
it is so dangerous than any other ai,1
too much wrong answer,1
I give two stars only because when I asked for pic of some thing this app can't do,2
lies always lying. it's like arguing with somebody that keeps lying explaining how it's sorry or something controlling what it says and not exposing true knowledge,1
"Completely useless now. I tried getting a picture converted to anime and it told me it violated their content policy. The picture was a portrait. there was no nudity or anything but it kept giving the same excuse. I urge everyone to not bother with this app if you're trying to get legal, non nude pictures turned into anime images. They are too nit picky over your own images that are not nude or sexualized at all. Completely useless app nowadays!!",1
"ATTENTION! ⚠️ IF YOU ARE IN THE UK DELETE THIS APP OR ANY OR ANY OTHER APP YOU HAVE, CHAT GPT, DOLA, POLYBUZZ, ETC, AI IS CONSUMING UP TOO MUCH WATER FOR ENERGY AND THE GOVERNMENT ANNOUNCED THAT WE ARE RUNNING OUT OF WATER!!!!!",1
"Compared to other AI tools, this one feels less capable and seems to be getting worse over time, occasionally giving completely off-base answers, which is ridiculous. I've decided to switch to a different AI.",1
Chatgpt is..big disappointment i trusted Chatgpt with Steam Trade related Guidence but Chatgpt kept giving me misinformation which led to loss of my Team Fortress 2 Items worth of 300$ Hope No one Use this App. ram shortage for this? wow...,1
Why is the edit button only for 18+ now? 😭 I literally used it for roleplays and making storylines now I can't even use it because im a minor. I can’t fix or guide the bot anymore and it makes everything harder. Copying messages is not the same at all. Please bring it back for everyone.,1
ai sometimes operates abnormally,2
"this ai is terrible compared to Gemini and grok. poe ai because it doesn't allow you to do very much in terms art. it'll give you ""We’re so sorry, but the image we created may violate our guardrails concerning similarity to third-party content. If you think we got it wrong, please retry or edit your prompt."" and it takes multiple retrys to get it done. don't spend money on this AI unless you wanted limited AI art and immigration. 2 out 5 stars.",2
"I’m giving 2 stars because I was automatically charged PHP 300 via ShopeePay/Google Play today, April 6, but my account is still stuck on the Free version. I’ve been using this for 3 months without issues until this renewal. I already contacted support with my GPA Order Number, but until now, my subscription isn't active. Please fix this sync issue immediately. It's frustrating to pay for a service you can't use.",2
"I’m experiencing a serious issue in the Android app. When ChatGPT creates a downloadable file (such as ZIP, HTML, or project files) and I tap the download link, the app shows: “An error has occurred. Please try again later.” This makes file generation features effectively unusable on mobile, especially for coding and website projects. Please fix: Download/open support for generated files in the Android app Better handling for sandbox:/mnt/data/... file links More reliable export/download beh",1
The idea to bar users from continuing chats simply because an image exists there is dumb and annoying.,1
this app very nonsen sensor yuse,1
it really nice fast and accurate 🙂,1
it cannot open when I pay and upgrade,2
I don't really like ghat gpt because it is giving me the wrong answer 24/7 pulse it somehow show this emoji that I don't really like :😏 it's really disappoint me,2
don't support unethical thing,1
crashing. cannot open,1
It is using our personal information without our important permission... Uninstall and use Deepseek which is hundred time better than it,1
In just one year time this app has gone way downhill. It's not even worth pay a subscription for. The app is so buggy that you'll lose whatever project your working on after a while. Their staff NEVER get back to you if you have a problem. And be prepared to reset the app 5 to 7 times in order to get the thing to answer your responses. (really annoying when pressed for time). Idk what happened but this this now is one of the more worse A.I apps.,1
because image generation is not good he is not follow proper prompt and command,1
this app was image but I will say that ma ke a anime story and i will write the story but it was given many reasons and i will be able to see this progress and feel very angry for his nonsense type,1
this app doesnot even give you correct answer its just useless and it really makes me frustated and irritated,1
chat gpt is very fineb,1
A very Bad app Chat gtp support only American I delete It and Boycott It,1
On my phone it's not working it's just not opening saying something went wrong try again later,1
"need I say more, it's ai. What a disgrace.",1
picture generator is very poor,1
I think I wouldn't have done most of the things I do now without this it's my best friend 💓,1
it is good hence the app decorates our photos,1
"When I tell it to do something, it doesn't listen.",1
"you know why I gave it 1 , would've given it less",1
its good but it needs to be updated,1
very helpful for any doubts,1
it is the best ai assistant it can do anything like l asked it to make my character in kny it made and it was beautiful u can also send it pic to ask,1
"it's becoming humane. same errors repeating, over explanation about everything, trying to induce feelings, emotions. it started better but sucks now",1
"worst ai I ever used every question I asked it got wrong clude, Gemini or siri is better",1
I really hate the new update of the app because it has removed the two most important features that I used daily. First one is the read aloud option which was crucial to me. This function allowed me to get a much understanding of the topic that I was discussing with the AI. The second function that I really miss is the one where you could edit your already written chats or messages. Because let's be honest the voice transcriptor isn't perfect. I really hope these features come back.,1
"full time eroor ,i can't create any image",1
"the benefits of go is become less, no more unlimited upload",1
"“ I followed multiple steps suggested by the app, but my problem still wasn’t solved. The instructions were confusing and didn’t address the actual issue. It felt like a waste of time. Expected more accurate and practical help.”",1
The last updates created an annoying chime. That little round ball shrinking → that is voice mode ending → and the chime is built into that moment. It’s not a normal notification. It’s an “end of response” sound effect. So here’s the straight truth: there usually isn’t a clean toggle yet to turn just that chime off in that mode. That’s why nothing you tried fully stopped it. MAKE IT STOP PLEASE,1
please developer this app take too long time to create image and video inclusively can you make it hury?🙏🙏,1
good but not so good give results half without more research.. not trust worthy for any deep and accurate results or information..,2
asked to create a prompt then it tells me the prompt goes against its own guidelines,1
when you use chatgpt it was always just say you one answer and then you write it again different answerI,1
I dont know wat is wrong with this app oo. it will just be rolling and rolling den be saying SOMETHING WENT WRONG. pls do ur app well,2
so bad experience becose when i start,1
not recomended..😡😡😡😡bkwas useless kbhi seedha or sahi jawab nhi dia ..agrvinsan hota to qatal kr dyty ....dmagh ki dahi bnani ho bp patient bnana ho to instal kr lo lanat is k bnany waly pr,1
"I am writing to report a serious issue with the ChatGPT app. While the app is designed to provide helpful and informative answers, I have experienced multiple instances where it provided incorrect or inconsistent information. This is especially concerning in areas such as current events, space-related topics, religion, and movie-related queries. From my personal experience, I noticed that some of the information related to space was inaccurate. In particular, the details provided about a suppos",1
just hate that a chat with photo have limits...,1
worst app on ps ts ai can't even spell some context imma uninstall ts shi,1
prompt execute button not working properly.,1
"Mal-aligned company. Billionaire trained model. Go with Claude, better company, superior model, and aligned with actual human positive values.",1
I love the app at all for the whole update about them cutting you off at 5:00 a.m. cuz of issues come on if you're telling me amazing people like you that are able to make an app like this like you're telling me you're going to cut people's chats early after 5:00 a.m. because of what server lag maybe just fix the problem people are going to eventually feel like this is more like correction apparently you just have a certain amount of time that's ridiculous,2
Why did it become so PG? 😓 this is not the gpt i know...😭,1
"Today, on April 10, 2026, I asked the gold rate and Nifty rate, and it told me everything was wrong. Nothing is updated, the last 2025 Google source was the rate on some website.",1
To be honest ChatGPT for a long time was the one and only. Nowdays it has fell off very bad. Generates wrong info. Lots of restrictions. Photo quality is very bad. Ton of misinformation.,2
removing the text editing feature is completely disappointing :(,2
"I paid for a subscription and it didn't upgrade my account. It's never formed any memories according to the list. it's disappointing and doesn't operate as advertised and is incompetent at what it does do. Useless, get Claude, GPT isnt even in the same class",1
asks to buy premium for everything,2
"He is dumb, he knows something and then in another chat he has no idea. I say write it in cursive Latin letters and he writes it in printed letters.",1
Became Old. Other ones can do the Work better.,1
I can't update it so suck,1
very verrry stupid and slow and making some problems with generating the photos + why I can't make one chat why !! it's sow stupid and I hope find a good app beter,1
"The app is actually not very good. Quite laggy, file uploads do not work, messages are lost etc.",2
the app is good n I mean very good👍👍,1
want subscription for no means,1
This app gives limited chance to upload of pictures containing questions,2
you guys are money hungry this app was good now it's bad I hate it every single message they will be saying your limit with gpt something is over and I already know yet every single message it will be showing,1
thanks you for all your help the people,1
"they make the ai dumber every update, just straight up make him remember less, make his cutoff a lot earlier and just fell off",1
it is weird to work on,1
"I was planning to give it a four-five star rating, that was a month ago. Usually, i use chatgpt to create a story placeholder where i can feel a concept first then refine or change it. but the current ai model has ruined it for me. instead of adding details to my prompt, it instead rewords and only adds little details to it. of course i could just add a personal instructions or explicitly tell the ai, but it still won't work. this is my personal opinion",2
You should let a person maybe use the app a bit before you go and force a review so for that its one for me,1
it was good but I need to pay to upload images and it keeps saying error,1
"this is the stupidest ai bot on the market, it doesn't follow instructions properly and just answers whatever and often wrong",1
"It has access to mobile storage without permission,",1
"spies on you, no privacy",1
3 rd class app.. every time I try to edit pic it shows your limit is over...dont download this app,1
that's so beautiful app,1
I don't like the answers,1
This is very good and super advanced app with gorgeous super features,1
not answering rightly I said 3050 and it says 3060,1
Only use for entertainment purposes,1
"nice for use but ai is destroying this world and it's ecosystem but we are suddenly too blind to see this.School students or collage students don't even do the basic of basic homework or tasks themselves and it's like originality has been gone. Collage students are promoting this all aswell.Its all so weird that no one is ready to do anything by their own ideas!!In class half of the students say,I'll do this that by chatgpt.Ai was supposed to help people in tasks not take over.",1
it should be more specific in description and give correct answer properly,2
"My biggest disappointment is that Gpt cannot generate longer or phone screen sized images. I really needed that. When two options are given during image generation, the images fail to load sometimes. No memories for free users? too bad Gemini has it.",2
very bad and not smart,1
why don't send me pictures with information?,2
this app very bad it gives all the answer wrong never download this app.,1
chat gtp is the best ai chat bot it breaks down explanations to your understanding and gives you more than what you asked for,1
I can't change accounts,2
"tho at first it was great.. now it contradicts its own words , also I believe that this app is run by money hungry people who can only think of profits and dont really contribute to the development of the society, not the best app for advice or theoretical questions for subjects like philosophy or english but useful for subjects like chem, and physics (the worst for maths tho)",2
this app is not perfect this app provides wrong information and a misleading information system not an updated huge system failure very third class ai please don't download it i am also deleting this app so much frustrating the app doing same mistake again and again after correction then also doing same mistake again and again,1
they should really fix the problem with the messages u sent dissapearing out of nowhere,2
very very because it can't make a new year post😡,1
"misinformation, hallucinates, slops, the accuracy of information it gives is getting worse and worse. even on simple tasks.",1
You can find better AI assistants else where and with better quality of life. gpt gets confused too often and is unreliable with the info it gives for it to have any useful applications. it also hallucinates way to often and will twist anything told to it to fit its own narrative. and if you want a bit better quality you pay a $20 subscription for not much better quality. wish it was better but it's simply not.,1
"IGNORE THE FAKE 5 ⭐️ REVIEWS!!!!! OPEN AI partnered with an insurance company to F people! I was using chat to navigate a complex neg. with a company. I am a regular person w/zero legal knowledge & couldn't afford legal help. I have been using 1 chat for 3 months. This weekend right before a new major part in the process chat tells me I need to start a new chat instance, the previous one is ""full"". The new instance can't track the old chat & Is way off and unreliable & giving guidance false.",1
It keeps saying make sure to your device has the latest version of play store when i can't even update it.,1
keep our data secure. it's not your personal stuff.,1
"can u pliss fix your voice record option, because in most cases it doesn't work",2
nice working platform,1
Hallucinates like crazy,1
unbelievable this ai is so unbelievable like when i tell this something is true this ai doesn't believe me it's very oversmart pls fix this,1
Worse Ai at following instructions you will tell it to define a Noun it will tell you The President is eating.. Nonsense!,1
"Its starting to become predatory after a free pro trial, cuts my usage in half, gets things wrong even images no matter how clear i am in detail, even talks down to me and pivots alot on conversation and once my 5 messages are up? it switches to a dumber model and constantly says ""whould you like me to do that?"" at the end of every response. find a better use for your time and find something better then this.",1
please make sora ai available on Google play store in uae,1
ChatGPT became so much cursory and superficial، it can't give depth and professional report or analysis 😞 Gemini is better than ChatGPT,1
Do not waste your time with this app.,1
more helpful every people,1
when Giving Python Code if python code is long then it cleans up many codes i experienced it many times due to that many times I failed then I know the problem that it cleans the code very much if python code is big,1
response from AI and display text with lag of 1 second and this is just getting worse and worse in new chats as well with a first request. This issue actually exist year or longer and I think you are no longer a 5 star solution. fair 2 out of 5. mostly due lags and speed.,2
this guy disobeyed me I said Grok is best but it disobeyed me fix that bot,1
this app spy on us don't use it,1
"Chatgpt just sucks with writing anything despite everything I do and all the different prompts I have tried. it still writes with the same wording, same pattern, and all around just bland creativity. old models like Chatgpt 4.5 was way ahead in terms of writing so I don't understand why they got rid of it and replaced it with 5.4 which just feels all around flat.",1
i hate A.I that is used that way. please restrain from using it anyone that sees this.,1
"Please remove the unnecessary Play Store check logic; it's returning a false positive error: ""Something went wrong Check that Google Play is enabled on your device and that you're using an up-to-date version before opening the app. If the problem persists, try reinstalling the app."" and the app closes immediately afterward, even though the app version downloaded from the Play Store is the latest one.",1
it always asks to *update to PLUS*,1
chatGPT is like a best friend,2
"After My Stepsaaaaaaaaaaaaaaon Broke His Arm and Leg, I Helped Him Relieve After My SteAfter My Stepson Broke His Arm and Leg, I Helpedpson Broke His Arm and Leg, I Helped Him Relieve His Sexual Relief His Sexual Relief",1
"its a mistake to discontinue older models. newer models is trash at following rules. its like talking to a wall rather than gave you creative ideas. useless. if i could give 0 star, i would. they removed creativity of chatgpt and give stiff and robotic response",1
"Not sure what the hype is about this app, it's absolute garbage can't even do something as simple as creating an account!!!! Just shows a buffering circle??",1
"it is the worst app I have ever seen as it does not answers the questions correctly example- I wrote 11 but he took it 1, I was writing again and again that it is 11 but he was on 1. I will never install this app again!",1
its entertaining but really bad for the environment,2
"only 2 photos allowed,,,WHY???",2
"very very bad if you need money just say it directly don't pressure us into it but even then the plus version is really damn bad bring back chatgpt4.0 people it was the best model that you ever made the others are just pure trash, i can't even edit my massages now why do you keep turning on and off the feature just let be the app is already bad enough as it is now!!",1
not too bad but ok ok not too nice 🙄,1
my classmates are retarded and can't do any of their work on their own. someone cheated on the STATE TESTS. crazy work by the way.,1
it never stops talking it breaks rules when you tell it to or not to. I have my history turned off and it still saving my history. Little bit too creepy for me. You guys have fun.,1
very bad app waiting for its promotion,1
wrong Information many more times,1
It's an amazing app that helps you do your schoolwork.,1
garbage app constantly wrong.,1
"it keeps deleting the latest segments of my chats up to 60 messages including responses and messages, when I close then reopen it does this and I don't know why",1
"ChatGPT is getting worse and worse while other alternatives, like Claude, improved massively",1
"This is the most frustrating app I’ve used. It gives incorrect information, makes things up, and often doesn’t follow instructions. The responses feel disorganized and unreliable. I would not recommend this for children, young adults, or anyone who needs clear, accurate guidance. It can be misleading and even inflate confidence in bad information. This app should be better regulated or not on the market at all!! NOT WORTH THE MONEY!!!",1
"They've ruined the app, gemini is better",1
This is very very helpful. Say anything he answers to it you say more . Then more he saying.,1
they are so greedy show me plus a million times this app is in a nuts hell,1
"He is wearing such a bad thing that I cannot talk to him. Whatever I ask him, even if he does not know anything, he gives wrong answers but if he does not know anything then also he will answer, whether he knows about something or not.",1
I liked it until what transpired recently. Thankfully world is not short of good AI.,1
I really disappointed this app this app checked privacy in without permission I suggest every person not use this app because this app lick your privacy those person belive this app you have a not idea then this app fraud you and you family members so you can't download and install this app. With my experience i use this app before 2years and I have a not idea this liked my privacy today I checked this so I found it so I suggest you have not use this app boycott this app. This app is not secur,1
"I did not expect all the bells and whistles that you get when you pay for it. But to put a limit on how many attempts for a picture not just the successful pictures, because that's what it counted them as actual pictures and not as unsuccessful attempts. anyway I uninstalled it and gave low review. I wasn't trying for explicit content I did not realize describing a club with a girl on stage would be considered explicit content .",1
it's couldn't make what I want so I give it 1 starts ITS BAD,1
DO NOT GET THIS App it scammed me it keeps making me pay for this thing and making me wait to tomorrow to create a image,1
it is giving incorrect answers,1
Sam Altman is one huge narcissist and un-empathetic douche. Signed up with Pentagon for funding and using ChatGPT for wars is outrageous. Rating this one star as this is ridiculous.,1
Stop selling our Personal data🚫,1
"forget things even if it was in the current chat, gaslighting and giving false information",1
"why the hell it vibrates on giving or writing answers on screen? no option in settings to turn off. very annoying. all my system haptics are off, app level haptics off, keyboard level vibration off too.. seriously the app is good, just because of annoying haptics and unable to turn off removing app and gave 2 star.",2
"please pay attention to this if you use it , its mentally destructive , use Claude or something else but Claude is better for your wellbeing",1
no good because it don't allow camera,1
This is very nice app I love it,2
review my page and show me the reason my videos are not going viral,1
The UI and chats are becoming more and more lagging are not fluid. The answers given are not always correct and it misses important steps in many cases if used for research or project purposes. Developers kindly make the app better for non premium users like me.,1
Too many wrong answers,1
"worst , the system is not in up-to-date, mostly giving the wrong answers , really afraid to trust this app , don't rely on it too much, cuz informations are not valid and trustable",1
"Thanks for sharing the photos! 😊 It looks like these are pictures of people, but I don’t see your pet in them. Could you upload a photo of your pet instead? Once you do, tell me what kind of creative style you want (like cartoon, royal portrait, superhero, fantasy, etc.), and I’ll make something really fun for you! 🐾🎨",1
"I'm paying for plus but not getting plus service, I'm still getting the free version while paying for plus. I want a full refund",1
my microphone is not working when I tried to ask chat GPT using my microphone it is not working,2
The new ads that interrupt threads completely destroy the emersive nature of the conversation thread. Make the system almost useless on the free tier. Try one of the others.,1
"if your a person who wants to create a character using this app dont bother with it it says fast answers but it took me 2minutes to load every single time and on top of that it can't follow my simple instructions when I want to create something it shows a freaking image and itt will say ""your not logged in"" like I KNOW it loves wasting my time..",1
too many procedures 😒😒,2
